Crop_Year,State,District,Crop,Yield,Crop_Cat,Area,Production
2011,Maharashtra,Nagpur,Kharif Sorghum,0.71392,Other,7900.0,5640.0
2012,Maharashtra,Nagpur,Kharif Sorghum,0.8290299999999999,Other,6200.0,5140.0
2013,Maharashtra,Nagpur,Kharif Sorghum,0.40426,Other,4700.0,1900.0
2014,Maharashtra,Nagpur,Kharif Sorghum,0.58974,Other,3900.0,2300.0
2015,Maharashtra,Nagpur,Kharif Sorghum,0.875,Other,4000.0,3500.0
2016,Maharashtra,Nagpur,Kharif Sorghum,0.6818200000000001,Other,2200.0,1500.0
2017,Maharashtra,Nagpur,Kharif Sorghum,0.73913,Other,2300.0,1700.0
2010,Maharashtra,Chandrapur,Kharif Sorghum,0.62381,Other,2100.0,1310.0
2011,Maharashtra,Chandrapur,Kharif Sorghum,0.74,Other,2500.0,1850.0
2012,Maharashtra,Chandrapur,Kharif Sorghum,0.95185,Other,2700.0,2570.0
2013,Maharashtra,Chandrapur,Kharif Sorghum,0.77778,Other,2700.0,2100.0
2014,Maharashtra,Chandrapur,Kharif Sorghum,3.96429,Other,2800.0,11100.0
2015,Maharashtra,Chandrapur,Kharif Sorghum,0.66667,Other,2700.0,1800.0
2016,Maharashtra,Chandrapur,Kharif Sorghum,0.37037,Other,2700.0,1000.0
2017,Maharashtra,Chandrapur,Kharif Sorghum,0.5901900000000001,Other,2220.0,1310.0
2010,Gujarat,Ahmedabad,Kharif Sorghum,1.041,Other,1440.0,1500.0
2011,Gujarat,Ahmedabad,Kharif Sorghum,0.98795,Other,4900.0,4840.0
2012,Gujarat,Ahmedabad,Kharif Sorghum,0.8,Other,1480.0,1180.0
2013,Gujarat,Ahmedabad,Kharif Sorghum,0.8181799999999999,Other,710.0,580.0
2014,Gujarat,Ahmedabad,Kharif Sorghum,0.75,Other,20.0,20.0
2015,Gujarat,Ahmedabad,Kharif Sorghum,0.83333,Other,40.0,30.0
2017,Gujarat,Ahmedabad,Kharif Sorghum,1.39252,Other,60.0,90.0
2010,Gujarat,Amreli,Kharif Sorghum,1.08333,Other,1200.0,1300.0
2010,Gujarat,Banaskantha,Kharif Sorghum,0.43182,Other,13200.0,5700.0
2011,Gujarat,Banaskantha,Kharif Sorghum,1.0,Other,3200.0,3200.0
2012,Gujarat,Banaskantha,Kharif Sorghum,1.2205899999999998,Other,6800.0,8300.0
2013,Gujarat,Banaskantha,Kharif Sorghum,1.19825,Other,3430.0,4110.0
2014,Gujarat,Banaskantha,Kharif Sorghum,0.97692,Other,6500.0,6350.0
2015,Gujarat,Banaskantha,Kharif Sorghum,1.10256,Other,7800.0,8600.0
2016,Gujarat,Banaskantha,Kharif Sorghum,0.96062,Other,9040.0,8680.0
2017,Gujarat,Banaskantha,Kharif Sorghum,0.8131,Other,15500.0,12600.0
2010,Gujarat,Bharuch,Kharif Sorghum,1.37647,Other,8500.0,11700.0
2011,Gujarat,Bharuch,Kharif Sorghum,1.2761900000000002,Other,10500.0,13400.0
2012,Gujarat,Bharuch,Kharif Sorghum,1.4954100000000001,Other,10900.0,16300.0
2013,Gujarat,Bharuch,Kharif Sorghum,1.02301,Other,8690.0,8890.0
2014,Gujarat,Bharuch,Kharif Sorghum,1.06276,Other,4780.0,5080.0
2015,Gujarat,Bharuch,Kharif Sorghum,0.97762,Other,5810.0,5680.0
2016,Gujarat,Bharuch,Kharif Sorghum,1.1588,Other,7070.0,8189.999999999999
2017,Gujarat,Bharuch,Kharif Sorghum,1.44621,Other,2200.0,3190.0
2010,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.0625,Other,1600.0,1700.0
2011,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.13333,Other,1500.0,1700.0
2012,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.30769,Other,1300.0,1700.0
2013,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.4426199999999998,Other,3050.0,4400.0
2014,Gujarat,Vadodara / Baroda,Kharif Sorghum,2.0,Other,20.0,40.0
2015,Gujarat,Vadodara / Baroda,Kharif Sorghum,0.8,Other,50.0,40.0
2016,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.32,Other,30.0,30.0
2017,Gujarat,Vadodara / Baroda,Kharif Sorghum,1.30206,Other,440.0,570.0
2012,Gujarat,Bhavnagar,Kharif Sorghum,1.33333,Other,300.0,400.0
2013,Gujarat,Bhavnagar,Kharif Sorghum,1.44348,Other,3450.0,4980.0
2014,Gujarat,Bhavnagar,Kharif Sorghum,1.33333,Other,30.0,40.0
2015,Gujarat,Bhavnagar,Kharif Sorghum,1.4146800000000002,Other,5860.0,8290.0
2016,Gujarat,Bhavnagar,Kharif Sorghum,1.54,Other,4500.0,6930.0
2010,Gujarat,Valsad,Kharif Sorghum,1.09091,Other,1100.0,1200.0
2011,Gujarat,Valsad,Kharif Sorghum,1.0,Other,1000.0,1000.0
2012,Gujarat,Valsad,Kharif Sorghum,1.44444,Other,1800.0,2600.0
2013,Gujarat,Valsad,Kharif Sorghum,1.42857,Other,490.0,700.0
2014,Gujarat,Valsad,Kharif Sorghum,1.2069,Other,870.0,1050.0
2015,Gujarat,Valsad,Kharif Sorghum,1.4025999999999998,Other,770.0,1080.0
2016,Gujarat,Valsad,Kharif Sorghum,1.53659,Other,40.0,60.0
2017,Gujarat,Valsad,Kharif Sorghum,1.40299,Other,70.0,90.0
2010,Gujarat,Dangs,Kharif Sorghum,1.04348,Other,2300.0,2400.0
2011,Gujarat,Dangs,Kharif Sorghum,1.3636400000000002,Other,3300.0,4500.0
2012,Gujarat,Dangs,Kharif Sorghum,1.25,Other,2400.0,3000.0
2013,Gujarat,Dangs,Kharif Sorghum,1.3046900000000001,Other,2560.0,3340.0
2014,Gujarat,Dangs,Kharif Sorghum,1.08197,Other,1220.0,1320.0
2015,Gujarat,Dangs,Kharif Sorghum,1.4148900000000002,Other,1880.0,2660.0
2016,Gujarat,Dangs,Kharif Sorghum,3.42782,Other,1340.0,4580.0
2017,Gujarat,Dangs,Kharif Sorghum,1.39275,Other,690.0,960.0
2014,Gujarat,Jamnagar,Kharif Sorghum,1.2211500000000002,Other,120.0,140.0
2015,Gujarat,Jamnagar,Kharif Sorghum,1.41304,Other,180.0,250.0
2016,Gujarat,Jamnagar,Kharif Sorghum,1.54,Other,50.0,80.0
2017,Gujarat,Jamnagar,Kharif Sorghum,1.40741,Other,30.0,40.0
2013,Gujarat,Junagadh,Kharif Sorghum,1.33333,Other,60.0,80.0
2014,Gujarat,Junagadh,Kharif Sorghum,1.2,Other,500.0,600.0
2015,Gujarat,Junagadh,Kharif Sorghum,1.41481,Other,1350.0,1910.0
2016,Gujarat,Junagadh,Kharif Sorghum,1.54,Other,200.0,310.0
2010,Gujarat,Kheda,Kharif Sorghum,1.0606099999999998,Other,3300.0,3500.0
2013,Gujarat,Kheda,Kharif Sorghum,1.4528299999999998,Other,530.0,770.0
2015,Gujarat,Kheda,Kharif Sorghum,1.39696,Other,300.0,420.0
2016,Gujarat,Kheda,Kharif Sorghum,1.54,Other,10.0,20.0
2017,Gujarat,Kheda,Kharif Sorghum,1.38462,Other,10.0,20.0
2013,Gujarat,Kutch,Kharif Sorghum,1.4430399999999999,Other,82430.0,118950.0
2015,Gujarat,Kutch,Kharif Sorghum,1.4,Other,50.0,70.0
2016,Gujarat,Kutch,Kharif Sorghum,1.54009,Other,26880.0,41390.0
2017,Gujarat,Kutch,Kharif Sorghum,1.39345,Other,26120.0,36400.0
2010,Gujarat,Mehsana,Kharif Sorghum,1.0624200000000001,Other,3860.0,4100.0
2011,Gujarat,Mehsana,Kharif Sorghum,0.9940599999999999,Other,6900.0,6860.0
2012,Gujarat,Mehsana,Kharif Sorghum,0.99672,Other,1520.0,1520.0
2013,Gujarat,Mehsana,Kharif Sorghum,1.0506300000000002,Other,790.0,830.0
2014,Gujarat,Mehsana,Kharif Sorghum,1.20425,Other,620.0,740.0
2015,Gujarat,Mehsana,Kharif Sorghum,1.41308,Other,13300.0,18800.0
2016,Gujarat,Mehsana,Kharif Sorghum,1.54059,Other,1010.0,1560.0
2017,Gujarat,Mehsana,Kharif Sorghum,1.3932,Other,1520.0,2120.0
2010,Gujarat,Panchmahal,Kharif Sorghum,1.07843,Other,5100.0,5500.0
2011,Gujarat,Panchmahal,Kharif Sorghum,1.0,Other,100.0,100.0
2012,Gujarat,Panchmahal,Kharif Sorghum,1.25,Other,400.0,500.0
2013,Gujarat,Panchmahal,Kharif Sorghum,1.66667,Other,30.0,50.0
2014,Gujarat,Panchmahal,Kharif Sorghum,1.26667,Other,150.0,190.0
2015,Gujarat,Panchmahal,Kharif Sorghum,1.4561,Other,90.0,130.0
2016,Gujarat,Panchmahal,Kharif Sorghum,1.53829,Other,110.0,160.0
2017,Gujarat,Panchmahal,Kharif Sorghum,1.3794000000000002,Other,60.0,80.0
2010,Gujarat,Rajkot,Kharif Sorghum,1.04545,Other,2200.0,2300.0
2011,Gujarat,Rajkot,Kharif Sorghum,1.0,Other,100.0,100.0
2013,Gujarat,Rajkot,Kharif Sorghum,1.44954,Other,1090.0,1580.0
2014,Gujarat,Rajkot,Kharif Sorghum,1.22141,Other,1900.0,2320.0
2015,Gujarat,Rajkot,Kharif Sorghum,1.41304,Other,2250.0,3180.0
2016,Gujarat,Rajkot,Kharif Sorghum,1.54,Other,1030.0,1580.0
2010,Gujarat,Sabarkantha,Kharif Sorghum,1.0,Other,500.0,500.0
2010,Gujarat,Surat,Kharif Sorghum,1.2381,Other,29400.0,36400.0
2011,Gujarat,Surat,Kharif Sorghum,1.2539200000000001,Other,31900.0,40000.0
2012,Gujarat,Surat,Kharif Sorghum,1.7920399999999999,Other,22600.0,40500.0
2013,Gujarat,Surat,Kharif Sorghum,1.66245,Other,21330.0,35460.0
2014,Gujarat,Surat,Kharif Sorghum,1.35363,Other,18720.0,25340.0
2015,Gujarat,Surat,Kharif Sorghum,1.51021,Other,19580.0,29570.0
2016,Gujarat,Surat,Kharif Sorghum,2.00459,Other,21770.0,43640.0
2017,Gujarat,Surat,Kharif Sorghum,1.8337999999999999,Other,20250.0,37130.0
2010,Gujarat,Surendranagar,Kharif Sorghum,1.0740699999999999,Other,2700.0,2900.0
2011,Gujarat,Surendranagar,Kharif Sorghum,0.97917,Other,4800.0,4700.0
2013,Gujarat,Surendranagar,Kharif Sorghum,1.44311,Other,20830.0,30060.0
2014,Gujarat,Surendranagar,Kharif Sorghum,1.2211500000000002,Other,510.0,620.0
2015,Gujarat,Surendranagar,Kharif Sorghum,1.41405,Other,15400.0,21780.0
2016,Gujarat,Surendranagar,Kharif Sorghum,1.54,Other,220.0,340.0
2017,Gujarat,Surendranagar,Kharif Sorghum,1.4,Other,40.0,60.0
2010,Rajasthan,Ajmer,Kharif Sorghum,0.75807,Other,160380.0,121580.0
2011,Rajasthan,Ajmer,Kharif Sorghum,0.76842,Other,116290.0,89360.0
2012,Rajasthan,Ajmer,Kharif Sorghum,0.77646,Other,135100.0,104900.0
2013,Rajasthan,Ajmer,Kharif Sorghum,0.59919,Other,138620.0,83060.0
2014,Rajasthan,Ajmer,Kharif Sorghum,0.56217,Other,137360.0,77220.0
2015,Rajasthan,Ajmer,Kharif Sorghum,0.30682,Other,147320.0,45200.0
2016,Rajasthan,Ajmer,Kharif Sorghum,0.56662,Other,143960.0,81570.0
2017,Rajasthan,Ajmer,Kharif Sorghum,0.58776,Other,126850.0,74550.0
2010,Rajasthan,Alwar,Kharif Sorghum,0.65583,Other,31990.0,20980.0
2011,Rajasthan,Alwar,Kharif Sorghum,0.9458200000000001,Other,29900.0,28280.0
2012,Rajasthan,Alwar,Kharif Sorghum,0.72823,Other,28480.0,20740.0
2013,Rajasthan,Alwar,Kharif Sorghum,0.84413,Other,24700.0,20850.0
2014,Rajasthan,Alwar,Kharif Sorghum,0.90126,Other,27750.0,25010.0
2015,Rajasthan,Alwar,Kharif Sorghum,0.86229,Other,28320.0,24420.0
2016,Rajasthan,Alwar,Kharif Sorghum,0.8698400000000001,Other,24060.0,20930.0
2017,Rajasthan,Alwar,Kharif Sorghum,0.68387,Other,23760.0,16250.0
2010,Rajasthan,Banswara,Kharif Sorghum,0.7010599999999999,Other,610.0,430.0
2011,Rajasthan,Banswara,Kharif Sorghum,0.7343999999999999,Other,430.0,310.0
2012,Rajasthan,Banswara,Kharif Sorghum,0.62139,Other,340.0,210.0
2013,Rajasthan,Banswara,Kharif Sorghum,0.62034,Other,360.0,220.0
2014,Rajasthan,Banswara,Kharif Sorghum,0.75,Other,250.0,190.0
2015,Rajasthan,Banswara,Kharif Sorghum,0.5180800000000001,Other,280.0,140.0
2016,Rajasthan,Banswara,Kharif Sorghum,0.60163,Other,330.0,200.0
2017,Rajasthan,Banswara,Kharif Sorghum,0.58475,Other,290.0,170.0
2010,Rajasthan,Barmer,Kharif Sorghum,0.70182,Other,2750.0,1930.0
2011,Rajasthan,Barmer,Kharif Sorghum,0.38564,Other,3760.0,1450.0
2012,Rajasthan,Barmer,Kharif Sorghum,0.1414,Other,9830.0,1390.0
2013,Rajasthan,Barmer,Kharif Sorghum,0.35101,Other,3960.0,1390.0
2014,Rajasthan,Barmer,Kharif Sorghum,0.72968,Other,5290.0,3860.0
2015,Rajasthan,Barmer,Kharif Sorghum,0.15940000000000001,Other,5960.0,950.0
2016,Rajasthan,Barmer,Kharif Sorghum,0.06976,Other,6610.0,460.0
2017,Rajasthan,Barmer,Kharif Sorghum,0.13153,Other,3580.0,470.0
2010,Rajasthan,Bharatpur,Kharif Sorghum,0.6221599999999999,Other,54970.0,34200.0
2011,Rajasthan,Bharatpur,Kharif Sorghum,0.85063,Other,51950.0,44190.0
2012,Rajasthan,Bharatpur,Kharif Sorghum,0.73994,Other,49450.0,36590.0
2013,Rajasthan,Bharatpur,Kharif Sorghum,0.88974,Other,46980.0,41800.0
2014,Rajasthan,Bharatpur,Kharif Sorghum,1.08053,Other,46440.0,50180.0
2015,Rajasthan,Bharatpur,Kharif Sorghum,1.10806,Other,50620.0,56090.0
2016,Rajasthan,Bharatpur,Kharif Sorghum,0.69675,Other,50200.0,34970.0
2017,Rajasthan,Bharatpur,Kharif Sorghum,0.56939,Other,50590.0,28810.0
2010,Rajasthan,Bhilwara,Kharif Sorghum,0.6414099999999999,Other,54240.0,34790.0
2011,Rajasthan,Bhilwara,Kharif Sorghum,0.7581,Other,36750.0,27860.0
2012,Rajasthan,Bhilwara,Kharif Sorghum,1.51827,Other,35310.0,53610.0
2013,Rajasthan,Bhilwara,Kharif Sorghum,0.88344,Other,33030.0,29180.0
2014,Rajasthan,Bhilwara,Kharif Sorghum,0.93628,Other,32330.0,30270.0
2015,Rajasthan,Bhilwara,Kharif Sorghum,0.2806,Other,43050.0,12080.0
2016,Rajasthan,Bhilwara,Kharif Sorghum,0.78614,Other,45150.0,35500.0
2017,Rajasthan,Bhilwara,Kharif Sorghum,1.00052,Other,40350.0,40370.0
2010,Rajasthan,Bikaner,Kharif Sorghum,0.70175,Other,570.0,400.0
2011,Rajasthan,Bikaner,Kharif Sorghum,0.73494,Other,830.0,610.0
2012,Rajasthan,Bikaner,Kharif Sorghum,0.63636,Other,330.0,210.0
2013,Rajasthan,Bikaner,Kharif Sorghum,0.63158,Other,190.0,120.0
2014,Rajasthan,Bikaner,Kharif Sorghum,0.75862,Other,290.0,220.0
2015,Rajasthan,Bikaner,Kharif Sorghum,0.5555599999999999,Other,360.0,200.0
2016,Rajasthan,Bikaner,Kharif Sorghum,0.60976,Other,40.0,30.0
2017,Rajasthan,Bikaner,Kharif Sorghum,0.58285,Other,2050.0,1200.0
2010,Rajasthan,Bundi,Kharif Sorghum,0.7014900000000001,Other,670.0,470.0
2011,Rajasthan,Bundi,Kharif Sorghum,0.78571,Other,140.0,110.0
2012,Rajasthan,Bundi,Kharif Sorghum,1.0,Other,100.0,100.0
2013,Rajasthan,Bundi,Kharif Sorghum,0.57143,Other,70.0,40.0
2014,Rajasthan,Bundi,Kharif Sorghum,0.71429,Other,70.0,50.0
2015,Rajasthan,Bundi,Kharif Sorghum,0.5,Other,100.0,50.0
2016,Rajasthan,Bundi,Kharif Sorghum,0.6047899999999999,Other,170.0,100.0
2017,Rajasthan,Bundi,Kharif Sorghum,0.58586,Other,100.0,60.0
2010,Rajasthan,Chittorgarh,Kharif Sorghum,0.64926,Other,9130.0,5930.0
2011,Rajasthan,Chittorgarh,Kharif Sorghum,1.0232999999999999,Other,8450.0,8640.0
2012,Rajasthan,Chittorgarh,Kharif Sorghum,1.05995,Other,10340.0,10960.0
2013,Rajasthan,Chittorgarh,Kharif Sorghum,0.96025,Other,10480.0,10060.0
2014,Rajasthan,Chittorgarh,Kharif Sorghum,1.31395,Other,10370.0,13630.0
2015,Rajasthan,Chittorgarh,Kharif Sorghum,1.1419300000000001,Other,12310.0,14050.0
2016,Rajasthan,Chittorgarh,Kharif Sorghum,0.90928,Other,13700.0,12450.0
2017,Rajasthan,Chittorgarh,Kharif Sorghum,1.08278,Other,13330.0,14430.0
2012,Rajasthan,Churu,Kharif Sorghum,0.66667,Other,30.0,20.0
2013,Rajasthan,Churu,Kharif Sorghum,0.66667,Other,30.0,20.0
2010,Rajasthan,Dungarpur,Kharif Sorghum,0.70312,Other,640.0,450.0
2011,Rajasthan,Dungarpur,Kharif Sorghum,0.7454500000000001,Other,550.0,410.0
2012,Rajasthan,Dungarpur,Kharif Sorghum,0.61538,Other,390.0,240.0
2013,Rajasthan,Dungarpur,Kharif Sorghum,0.6304299999999999,Other,460.0,290.0
2014,Rajasthan,Dungarpur,Kharif Sorghum,0.75,Other,400.0,300.0
2015,Rajasthan,Dungarpur,Kharif Sorghum,0.56,Other,250.0,140.0
2016,Rajasthan,Dungarpur,Kharif Sorghum,0.605,Other,200.0,120.0
2017,Rajasthan,Dungarpur,Kharif Sorghum,0.58333,Other,230.0,130.0
2011,Rajasthan,Ganganagar,Kharif Sorghum,1.0,Other,30.0,30.0
2012,Rajasthan,Ganganagar,Kharif Sorghum,0.66667,Other,120.0,80.0
2013,Rajasthan,Ganganagar,Kharif Sorghum,0.61538,Other,130.0,80.0
2014,Rajasthan,Ganganagar,Kharif Sorghum,0.71429,Other,70.0,50.0
2015,Rajasthan,Ganganagar,Kharif Sorghum,0.55,Other,200.0,110.0
2016,Rajasthan,Ganganagar,Kharif Sorghum,0.60426,Other,240.0,140.0
2017,Rajasthan,Ganganagar,Kharif Sorghum,0.58402,Other,360.0,210.0
2010,Rajasthan,Jaipur,Kharif Sorghum,0.62072,Other,47300.0,29360.0
2011,Rajasthan,Jaipur,Kharif Sorghum,0.64823,Other,32180.0,20860.0
2012,Rajasthan,Jaipur,Kharif Sorghum,0.59484,Other,32530.0,19350.0
2013,Rajasthan,Jaipur,Kharif Sorghum,1.04543,Other,36760.0,38430.0
2014,Rajasthan,Jaipur,Kharif Sorghum,0.64693,Other,46280.0,29940.0
2015,Rajasthan,Jaipur,Kharif Sorghum,0.48666000000000004,Other,46480.0,22620.0
2016,Rajasthan,Jaipur,Kharif Sorghum,0.64254,Other,42190.0,27110.0
2017,Rajasthan,Jaipur,Kharif Sorghum,0.43066000000000004,Other,37150.0,16000.0
2010,Rajasthan,Jaisalmer,Kharif Sorghum,0.7098,Other,2550.0,1810.0
2011,Rajasthan,Jaisalmer,Kharif Sorghum,0.7409600000000001,Other,1660.0,1230.0
2012,Rajasthan,Jaisalmer,Kharif Sorghum,0.14127,Other,3610.0,510.0
2013,Rajasthan,Jaisalmer,Kharif Sorghum,0.08716,Other,2180.0,190.0
2014,Rajasthan,Jaisalmer,Kharif Sorghum,0.06283,Other,1910.0,120.0
2015,Rajasthan,Jaisalmer,Kharif Sorghum,0.5155299999999999,Other,3220.0,1660.0
2016,Rajasthan,Jaisalmer,Kharif Sorghum,0.47042,Other,3130.0,1470.0
2017,Rajasthan,Jaisalmer,Kharif Sorghum,0.18086000000000002,Other,2750.0,500.0
2010,Rajasthan,Jalore,Kharif Sorghum,0.67953,Other,5960.0,4050.0
2011,Rajasthan,Jalore,Kharif Sorghum,0.8357100000000001,Other,4200.0,3510.0
2012,Rajasthan,Jalore,Kharif Sorghum,0.76222,Other,4500.0,3430.0
2013,Rajasthan,Jalore,Kharif Sorghum,0.34658999999999995,Other,3520.0,1220.0
2014,Rajasthan,Jalore,Kharif Sorghum,0.69638,Other,7180.0,5000.0
2015,Rajasthan,Jalore,Kharif Sorghum,0.29439,Other,8560.0,2520.0
2016,Rajasthan,Jalore,Kharif Sorghum,0.16782,Other,4930.0,830.0
2017,Rajasthan,Jalore,Kharif Sorghum,0.2452,Other,4630.0,1140.0
2010,Rajasthan,Jhalawar,Kharif Sorghum,1.25967,Other,3620.0,4560.0
2011,Rajasthan,Jhalawar,Kharif Sorghum,1.4492,Other,1870.0,2710.0
2012,Rajasthan,Jhalawar,Kharif Sorghum,1.3880599999999998,Other,1340.0,1860.0
2013,Rajasthan,Jhalawar,Kharif Sorghum,1.17857,Other,840.0,990.0
2014,Rajasthan,Jhalawar,Kharif Sorghum,1.01439,Other,1390.0,1410.0
2015,Rajasthan,Jhalawar,Kharif Sorghum,1.33333,Other,630.0,840.0
2016,Rajasthan,Jhalawar,Kharif Sorghum,0.6035900000000001,Other,1000.0,610.0
2017,Rajasthan,Jhalawar,Kharif Sorghum,0.58228,Other,630.0,370.0
2010,Rajasthan,Jhunjhunu,Kharif Sorghum,1.0,Other,10.0,10.0
2010,Rajasthan,Jodhpur,Kharif Sorghum,0.70999,Other,57240.0,40640.0
2011,Rajasthan,Jodhpur,Kharif Sorghum,0.63723,Other,47000.0,29950.0
2012,Rajasthan,Jodhpur,Kharif Sorghum,0.27924,Other,77280.0,21580.0
2013,Rajasthan,Jodhpur,Kharif Sorghum,0.28078,Other,46050.0,12930.0
2014,Rajasthan,Jodhpur,Kharif Sorghum,0.8224600000000001,Other,64379.99999999999,52950.0
2015,Rajasthan,Jodhpur,Kharif Sorghum,0.62394,Other,54060.0,33730.0
2016,Rajasthan,Jodhpur,Kharif Sorghum,0.47049,Other,44470.0,20920.0
2017,Rajasthan,Jodhpur,Kharif Sorghum,0.5807,Other,34490.0,20030.0
2010,Rajasthan,Kota,Kharif Sorghum,0.9415800000000001,Other,8730.0,8220.0
2011,Rajasthan,Kota,Kharif Sorghum,1.03125,Other,3520.0,3630.0
2012,Rajasthan,Kota,Kharif Sorghum,1.08571,Other,3500.0,3800.0
2013,Rajasthan,Kota,Kharif Sorghum,1.16,Other,1500.0,1740.0
2014,Rajasthan,Kota,Kharif Sorghum,1.06667,Other,2550.0,2720.0
2015,Rajasthan,Kota,Kharif Sorghum,0.8894500000000001,Other,1990.0,1770.0
2016,Rajasthan,Kota,Kharif Sorghum,1.3165,Other,3350.0,4410.0
2017,Rajasthan,Kota,Kharif Sorghum,1.15696,Other,1360.0,1570.0
2010,Rajasthan,Nagaur,Kharif Sorghum,1.04331,Other,44560.0,46490.0
2011,Rajasthan,Nagaur,Kharif Sorghum,1.04427,Other,39980.0,41750.0
2012,Rajasthan,Nagaur,Kharif Sorghum,0.17665999999999998,Other,100080.0,17680.0
2013,Rajasthan,Nagaur,Kharif Sorghum,0.51683,Other,54080.0,27950.0
2014,Rajasthan,Nagaur,Kharif Sorghum,0.8717,Other,97660.0,85130.0
2015,Rajasthan,Nagaur,Kharif Sorghum,0.7209800000000001,Other,46770.0,33720.0
2016,Rajasthan,Nagaur,Kharif Sorghum,0.5819,Other,26990.0,15700.0
2017,Rajasthan,Nagaur,Kharif Sorghum,0.49609,Other,27720.0,13750.0
2010,Rajasthan,Pali,Kharif Sorghum,0.6195900000000001,Other,135800.0,84140.0
2011,Rajasthan,Pali,Kharif Sorghum,0.61875,Other,104210.0,64480.00000000001
2012,Rajasthan,Pali,Kharif Sorghum,0.57026,Other,118980.0,67850.0
2013,Rajasthan,Pali,Kharif Sorghum,0.49639,Other,101150.0,50210.0
2014,Rajasthan,Pali,Kharif Sorghum,0.63273,Other,109130.0,69050.0
2015,Rajasthan,Pali,Kharif Sorghum,0.5069,Other,97160.0,49250.0
2016,Rajasthan,Pali,Kharif Sorghum,0.58462,Other,82760.0,48380.0
2017,Rajasthan,Pali,Kharif Sorghum,0.31311,Other,69680.0,21820.0
2010,Rajasthan,Swami Madhopur,Kharif Sorghum,0.69869,Other,2290.0,1600.0
2011,Rajasthan,Swami Madhopur,Kharif Sorghum,1.43333,Other,900.0,1290.0
2012,Rajasthan,Swami Madhopur,Kharif Sorghum,1.70103,Other,970.0,1650.0
2013,Rajasthan,Swami Madhopur,Kharif Sorghum,0.6129,Other,930.0,570.0
2014,Rajasthan,Swami Madhopur,Kharif Sorghum,0.75758,Other,660.0,500.0
2015,Rajasthan,Swami Madhopur,Kharif Sorghum,0.53846,Other,780.0,420.0
2016,Rajasthan,Swami Madhopur,Kharif Sorghum,0.60345,Other,1160.0,700.0
2017,Rajasthan,Swami Madhopur,Kharif Sorghum,0.58333,Other,1040.0,610.0
2010,Rajasthan,Sikar,Kharif Sorghum,0.5,Other,20.0,10.0
2011,Rajasthan,Sikar,Kharif Sorghum,1.0,Other,10.0,10.0
2012,Rajasthan,Sikar,Kharif Sorghum,1.0,Other,10.0,10.0
2013,Rajasthan,Sikar,Kharif Sorghum,1.0,Other,10.0,10.0
2014,Rajasthan,Sikar,Kharif Sorghum,1.0,Other,10.0,10.0
2015,Rajasthan,Sikar,Kharif Sorghum,1.0,Other,10.0,10.0
2010,Rajasthan,Sirohi,Kharif Sorghum,0.7010700000000001,Other,5620.0,3940.0
2011,Rajasthan,Sirohi,Kharif Sorghum,0.53204,Other,5150.0,2740.0
2012,Rajasthan,Sirohi,Kharif Sorghum,1.0184199999999999,Other,3800.0,3870.0
2013,Rajasthan,Sirohi,Kharif Sorghum,0.49789,Other,2370.0,1180.0
2014,Rajasthan,Sirohi,Kharif Sorghum,0.7573799999999999,Other,3050.0,2310.0
2015,Rajasthan,Sirohi,Kharif Sorghum,0.97977,Other,3460.0,3390.0
2016,Rajasthan,Sirohi,Kharif Sorghum,0.16775,Other,4450.0,750.0
2010,Rajasthan,Tonk,Kharif Sorghum,0.57064,Other,81400.0,46450.0
2011,Rajasthan,Tonk,Kharif Sorghum,0.44817,Other,49780.0,22310.0
2012,Rajasthan,Tonk,Kharif Sorghum,0.57077,Other,49810.0,28430.0
2013,Rajasthan,Tonk,Kharif Sorghum,0.2839,Other,56780.0,16120.000000000002
2014,Rajasthan,Tonk,Kharif Sorghum,0.67511,Other,51710.0,34910.0
2015,Rajasthan,Tonk,Kharif Sorghum,0.46403,Other,60880.0,28250.0
2016,Rajasthan,Tonk,Kharif Sorghum,0.43301999999999996,Other,61820.0,26770.0
2017,Rajasthan,Tonk,Kharif Sorghum,0.50794,Other,52430.0,26630.0
2010,Rajasthan,Udaipur,Kharif Sorghum,1.03819,Other,15880.0,16480.0
2011,Rajasthan,Udaipur,Kharif Sorghum,1.02505,Other,14230.0,14580.0
2012,Rajasthan,Udaipur,Kharif Sorghum,1.5108199999999998,Other,14130.0,21350.0
2013,Rajasthan,Udaipur,Kharif Sorghum,1.25678,Other,14460.0,18170.0
2014,Rajasthan,Udaipur,Kharif Sorghum,1.3466300000000002,Other,14440.0,19450.0
2015,Rajasthan,Udaipur,Kharif Sorghum,0.68774,Other,18460.0,12690.0
2016,Rajasthan,Udaipur,Kharif Sorghum,0.83773,Other,18410.0,15420.0
2017,Rajasthan,Udaipur,Kharif Sorghum,1.38228,Other,15750.0,21770.0
2013,Haryana,Hissar,Kharif Sorghum,0.5,Other,1420.0,710.0
2014,Haryana,Hissar,Kharif Sorghum,0.5,Other,1420.0,710.0
2015,Haryana,Hissar,Kharif Sorghum,0.5,Other,1420.0,710.0
2010,Haryana,Gurgaon,Kharif Sorghum,0.5371900000000001,Other,24200.0,13000.0
