Crop_Year,State,District,Crop,Yield,Crop_Cat,Area,Production
2011,Madhya Pradesh,Chhindwara,Rice,2.12871,Rice,20200.0,43000.0
2012,Madhya Pradesh,Chhindwara,Rice,2.75251,Rice,13940.0,38370.0
2013,Madhya Pradesh,Chhindwara,Rice,2.03114,Rice,13810.0,28050.0
2014,Madhya Pradesh,Chhindwara,Rice,2.4,Rice,20000.0,48000.0
2015,Madhya Pradesh,Chhindwara,Rice,1.74194,Rice,31000.0,54000.0
2016,Madhya Pradesh,Chhindwara,Rice,1.5237100000000001,Rice,35000.0,53330.0
2017,Madhya Pradesh,Chhindwara,Rice,1.2367000000000001,Rice,34010.0,42060.0
2010,Madhya Pradesh,Narsinghpur,Rice,1.56,Rice,12500.0,19500.0
2011,Madhya Pradesh,Narsinghpur,Rice,1.79167,Rice,12000.0,21500.0
2012,Madhya Pradesh,Narsinghpur,Rice,1.3330799999999998,Rice,12910.0,17210.0
2013,Madhya Pradesh,Narsinghpur,Rice,1.3611099999999998,Rice,18360.0,24990.0
2014,Madhya Pradesh,Narsinghpur,Rice,1.4072200000000001,Rice,18000.0,25330.0
2015,Madhya Pradesh,Narsinghpur,Rice,2.62735,Rice,34000.0,89330.0
2016,Madhya Pradesh,Narsinghpur,Rice,2.812,Rice,55000.0,154660.0
2017,Madhya Pradesh,Narsinghpur,Rice,4.63683,Rice,39100.0,181300.0
2010,Madhya Pradesh,Seoni / Shivani,Rice,1.3233,Rice,116300.0,153900.0
2011,Madhya Pradesh,Seoni / Shivani,Rice,1.4554500000000001,Rice,121200.0,176400.0
2012,Madhya Pradesh,Seoni / Shivani,Rice,2.05793,Rice,136550.0,281010.0
2013,Madhya Pradesh,Seoni / Shivani,Rice,2.93524,Rice,150240.0,440990.0
2014,Madhya Pradesh,Seoni / Shivani,Rice,1.43403,Rice,139000.0,199330.0
2015,Madhya Pradesh,Seoni / Shivani,Rice,1.41225,Rice,169000.0,238670.0
2016,Madhya Pradesh,Seoni / Shivani,Rice,2.4725300000000003,Rice,182000.0,450000.0
2017,Madhya Pradesh,Seoni / Shivani,Rice,2.40352,Rice,133130.0,319980.0
2010,Madhya Pradesh,Mandla,Rice,0.8241799999999999,Rice,191100.0,157500.0
2011,Madhya Pradesh,Mandla,Rice,1.0156,Rice,198700.0,201800.0
2012,Madhya Pradesh,Mandla,Rice,1.01069,Rice,210440.0,212690.0
2013,Madhya Pradesh,Mandla,Rice,1.13856,Rice,212680.0,242150.0
2014,Madhya Pradesh,Mandla,Rice,1.311,Rice,209000.0,274000.0
2015,Madhya Pradesh,Mandla,Rice,1.69921,Rice,215000.0,365330.0
2016,Madhya Pradesh,Mandla,Rice,1.94123,Rice,227000.0,440660.0
2017,Madhya Pradesh,Mandla,Rice,3.20525,Rice,215100.0,689450.0
2010,Madhya Pradesh,Sagar,Rice,0.75,Rice,6000.0,4500.0
2011,Madhya Pradesh,Sagar,Rice,0.79412,Rice,3400.0,2700.0
2012,Madhya Pradesh,Sagar,Rice,0.6330800000000001,Rice,5260.0,3330.0
2013,Madhya Pradesh,Sagar,Rice,0.43724,Rice,4780.0,2090.0
2014,Madhya Pradesh,Sagar,Rice,1.066,Rice,5000.0,5330.0
2015,Madhya Pradesh,Sagar,Rice,0.28570999999999996,Rice,7000.0,2000.0
2016,Madhya Pradesh,Sagar,Rice,1.0,Rice,6000.0,6000.0
2017,Madhya Pradesh,Sagar,Rice,1.12451,Rice,5060.0,5690.0
2010,Madhya Pradesh,Damoh,Rice,1.03386,Rice,50200.0,51900.0
2011,Madhya Pradesh,Damoh,Rice,1.0663099999999999,Rice,55800.0,59500.0
2012,Madhya Pradesh,Damoh,Rice,0.9934299999999999,Rice,56300.0,55930.0
2013,Madhya Pradesh,Damoh,Rice,1.12008,Rice,55630.0,62310.0
2014,Madhya Pradesh,Damoh,Rice,1.07076,Rice,66000.0,70670.0
2015,Madhya Pradesh,Damoh,Rice,1.13247,Rice,73000.0,82670.0
2016,Madhya Pradesh,Damoh,Rice,1.875,Rice,80000.0,150000.0
2017,Madhya Pradesh,Damoh,Rice,1.6667100000000001,Rice,75730.0,126220.0
2010,Madhya Pradesh,Tikamgarh,Rice,0.45,Rice,12000.0,5400.0
2011,Madhya Pradesh,Tikamgarh,Rice,0.7265,Rice,11700.0,8500.0
2012,Madhya Pradesh,Tikamgarh,Rice,0.47579000000000005,Rice,11770.0,5600.0
2013,Madhya Pradesh,Tikamgarh,Rice,0.35145,Rice,11410.0,4010.0
2014,Madhya Pradesh,Tikamgarh,Rice,0.41,Rice,13000.0,5330.0
2015,Madhya Pradesh,Tikamgarh,Rice,0.11167,Rice,6000.0,670.0
2016,Madhya Pradesh,Tikamgarh,Rice,1.0,Rice,6000.0,6000.0
2017,Madhya Pradesh,Tikamgarh,Rice,0.35964999999999997,Rice,4560.0,1640.0
2010,Madhya Pradesh,Chhatarpur,Rice,0.61798,Rice,8900.0,5500.0
2011,Madhya Pradesh,Chhatarpur,Rice,0.86813,Rice,9100.0,7900.0
2012,Madhya Pradesh,Chhatarpur,Rice,0.37477999999999995,Rice,5790.0,2170.0
2013,Madhya Pradesh,Chhatarpur,Rice,0.88454,Rice,5370.0,4750.0
2014,Madhya Pradesh,Chhatarpur,Rice,0.867,Rice,10000.0,8670.0
2015,Madhya Pradesh,Chhatarpur,Rice,0.33375,Rice,8000.0,2670.0
2016,Madhya Pradesh,Chhatarpur,Rice,1.0825,Rice,8000.0,8660.0
2017,Madhya Pradesh,Chhatarpur,Rice,0.47076999999999997,Rice,6330.0,2980.0
2010,Madhya Pradesh,Panna,Rice,0.96089,Rice,53700.0,51600.0
2011,Madhya Pradesh,Panna,Rice,0.99511,Rice,61300.0,61000.0
2012,Madhya Pradesh,Panna,Rice,1.01996,Rice,63640.0,64910.0
2013,Madhya Pradesh,Panna,Rice,1.13466,Rice,80650.0,91510.0
2014,Madhya Pradesh,Panna,Rice,1.3691099999999998,Rice,56000.0,76670.0
2015,Madhya Pradesh,Panna,Rice,0.31509,Rice,55000.0,17330.0
